Designator,Val,Package,MidX,MidY,Rotation,Layer
"J1","HDMI_A_1.4","HDMI-Vertical-Male-JLBPCB",-16.000000,63.000000,90.000000,top
"J2","HDMI_A_1.4","HDMI-Vertical-Male-JLBPCB",0.000000,63.000000,90.000000,top
"J3","HDMI_A_1.4","HDMI-Vertical-Male-JLBPCB",16.000000,63.000000,90.000000,top
"J4","HDMI_A_1.4","HDMI-Vertical-Male-JLBPCB",-68.000000,-16.000000,0.000000,top
"J5","HDMI_A_1.4","HDMI-Vertical-Male-JLBPCB",-68.000000,0.000000,0.000000,top
"J6","HDMI_A_1.4","HDMI-Vertical-Male-JLBPCB",-68.000000,16.000000,0.000000,top
"J7","HDMI_A_1.4","HDMI-Vertical-Male-JLBPCB",-16.000000,-63.000000,270.000000,top
"J8","HDMI_A_1.4","HDMI-Vertical-Male-JLBPCB",0.000000,-63.000000,270.000000,top
"J9","HDMI_A_1.4","HDMI-Vertical-Male-JLBPCB",16.000000,-63.000000,270.000000,top
